URL,Title,Meta description,Canonical,H1,Words,JSON-LD types,hreflang links,Issues
"/","AI voice agents for eye care | Optavius","AI voice agents for eye-care providers that answer questions, schedule appointments and handle routine requests, 24/7.","https://www.optavius.com/","Every patient call answered. Every opportunity captured.","1334","Organization|WebSite|WebPage|Person|Service|SoftwareApplication","0",""
"/_not-found/","AI voice agents for eye care | Optavius","AI voice agents for eye-care providers that answer questions, schedule appointments and handle routine requests, 24/7.","","404","22","","0","canonical missing != https://www.optavius.com/_not-found/; noindex"
"/404/","AI voice agents for eye care | Optavius","AI voice agents for eye-care providers that answer questions, schedule appointments and handle routine requests, 24/7.","","404","22","","0","canonical missing != https://www.optavius.com/404/; noindex"
"/about/","About | Optavius","Optavius reduces friction in specialty care: for patients, for staff and for clinicians.","https://www.optavius.com/about/","Who we are and why we&#x27;re here.","386","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/careers/","Careers | Optavius","Help specialty care answer every call. Open roles at Optavius.","https://www.optavius.com/careers/","Hi, we&#x27;re Optavius. We&#x27;d love for you to join us.","244","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/cookies/","Cookie Policy | Optavius","How optavius.com uses cookies and similar technologies, what is set only with your consent, and how to change your choice.","https://www.optavius.com/cookies/","Cookie Policy","307","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/customers/","Customer stories | Optavius","Practices that answer every call, in their own words.","https://www.optavius.com/customers/","Our customers in their own words","224","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/customers/cubitts/","Cubitts | Optavius","How Cubitts took order status and reorder calls off the shop floor.","https://www.optavius.com/customers/cubitts/","Order status and reorders, handled before the shop opens.","263","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/customers/north-texas-eye-specialists/","North Texas Eye Specialists | Optavius","How a Texas ophthalmology group stopped losing after-hours callers.","https://www.optavius.com/customers/north-texas-eye-specialists/","Answering every after-hours call across a multi-location group.","264","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/customers/omc-amstelland/","OMC Amstelland | Optavius","How OMC Amstelland went from 30% missed calls to none in the first month.","https://www.optavius.com/customers/omc-amstelland/","From 30% missed calls to none, in the first month.","336","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/de/","KI-Sprachagenten für die Augenheilkunde | Optavius","KI-Sprachagenten für Augenärzte und Augenoptiker, die Fragen beantworten, Termine vereinbaren und Routineanfragen erledigen, rund um die Uhr.","https://www.optavius.com/de/","Jeder Patientenanruf beantwortet. Jede Chance genutzt.","1322","Organization|WebSite|WebPage|Person|Service|SoftwareApplication","0",""
"/de/about/","Über uns | Optavius","Optavius nimmt Reibung aus der fachärztlichen Versorgung: für Patienten, für Personal und für Ärzte.","https://www.optavius.com/de/about/","Wer wir sind und warum wir hier sind.","353","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/de/careers/","Karriere | Optavius","Helfen Sie Facharztpraxen, jeden Anruf zu beantworten. Offene Stellen bei Optavius.","https://www.optavius.com/de/careers/","Hallo, wir sind Optavius. Wir freuen uns auf dich.","243","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/de/cookies/","Cookie-Richtlinie | Optavius","Wie optavius.com Cookies und ähnliche Technologien nutzt, was nur mit Ihrer Einwilligung gesetzt wird und wie Sie Ihre Wahl ändern.","https://www.optavius.com/de/cookies/","Cookie-Richtlinie","282","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/de/customers/","Kundengeschichten | Optavius","Praxen, die jeden Anruf beantworten, in ihren eigenen Worten.","https://www.optavius.com/de/customers/","Unsere Kunden in ihren eigenen Worten","210","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/de/customers/cubitts/","Cubitts | Optavius","Wie Cubitts Statusanfragen und Nachbestellungen von der Verkaufsfläche holte.","https://www.optavius.com/de/customers/cubitts/","Bestellstatus und Nachbestellungen, erledigt bevor das Geschäft öffnet.","250","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/de/customers/north-texas-eye-specialists/","North Texas Eye Specialists | Optavius","Wie eine Augenarztgruppe in Texas aufhörte, Anrufer außerhalb der Sprechzeiten zu verlieren.","https://www.optavius.com/de/customers/north-texas-eye-specialists/","Jeder Anruf außerhalb der Sprechzeiten beantwortet, an allen Standorten der Gruppe.","252","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/de/customers/omc-amstelland/","OMC Amstelland | Optavius","Wie OMC Amstelland im ersten Monat von 30 % verpassten Anrufen auf null kam.","https://www.optavius.com/de/customers/omc-amstelland/","Von 30 % verpassten Anrufen auf null, im ersten Monat.","316","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/de/demo/","Demo buchen | Optavius","Wählen Sie einen Termin mit einem Gründer und hören Sie, wie Optavius einen Anruf für Ihre Praxis annimmt. Unverbindlich.","https://www.optavius.com/de/demo/","Wählen Sie einen Termin mit einem Gründer.","58","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/de/pricing/","Preise | Optavius","Ergebnisbasierte Preise für KI-Sprachagenten. Ab 279 € pro Monat. Liefert Optavius keine Ergebnisse, zahlen Sie nichts.","https://www.optavius.com/de/pricing/","Preise, die den Ergebnissen folgen","394","Organization|WebSite|WebPage|Person|BreadcrumbList|FAQPage|Service|SoftwareApplication","0",""
"/de/privacy/","Datenschutzerklärung | Optavius","KI-Sprachagenten für Augenheilkunde und Facharztpraxen. Jeder Patientenanruf beantwortet, jeder Termin gebucht, rund um die Uhr.","https://www.optavius.com/de/privacy/","Datenschutzerklärung","1245","Organization|WebSite|WebPage|Person|BreadcrumbList","0",""
"/de/product/","Produktübersicht | Optavius","KI-Sprachagenten, die jeden Anruf beantworten, Termine buchen und eskalieren, was zählt. Sprache zuerst, mit jedem Kanal in einer Konsole.","https://www.optavius.com/de/product/","Optavius kennenlernen","909","Organization|WebSite|WebPage|Person|BreadcrumbList|FAQPage|Service|SoftwareApplication","0",""
"/de/product/agents/","Agenten | Optavius","Stellen Sie KI-Agenten für Empfang, Bestellstatus, Recall, No-Show-Rückgewinnung und mehr ein. Eine Aufgabe, ein Preis, ein Dashboard.","https://www.optavius.com/de/product/agents/","Agenten","798","Organization|WebSite|WebPage|Person|BreadcrumbList|FAQPage|Service|SoftwareApplication","0",""
"/de/product/ask-optavius/","Ask Optavius | Optavius","Verbinden Sie Kalender, Anrufprotokoll und Dokumente und fragen Sie alles zu Ihrer eigenen Praxis. 90 Tage kostenlos, bei jedem aktiven Agenten inklusive.","https://www.optavius.com/de/product/ask-optavius/","Ask Optavius","616","Organization|WebSite|WebPage|Person|BreadcrumbList|FAQPage|Service|SoftwareApplication","0",""
"/de/product/console/","Konsole | Optavius","Die Optavius-Konsole: das Morgenbriefing, was Sie braucht, jeder Anruf und jede Buchung, und eine Befehlszeile, die einfache Sprache versteht.","https://www.optavius.com/de/product/console/","Konsole","721","Organization|WebSite|WebPage|Person|BreadcrumbList|FAQPage|Service|SoftwareApplication","0",""
"/de/product/integrations/","Integrationen | Optavius","Optavius funktioniert mit Ihrer Telefonanlage, Ihrem Kalender, Ihrem Praxisverwaltungssystem und Ihrer Patientenakte. Standalone starten, verbinden, wenn Sie bereit sind.","https://www.optavius.com/de/product/integrations/","Integrationen","666","Organization|WebSite|WebPage|Person|BreadcrumbList|FAQPage|Service|SoftwareApplication","0",""
